notification_id,salary_related,transaction_type_mapped,percentage_change_in_holding,volume,n_people
6153,0,Acquisition/Purchase of Shares,1.0,4700.0,1
6154,0,Acquisition/Purchase of Shares,0.44820173690289644,424777.42,2
6155,0,Acquisition/Purchase of Shares,1.5,644500.0,2
6156,1,Acquisition/Purchase of Shares,1.0,99993.6,1
6157,1,Acquisition/Purchase of Shares,0.24758930719286476,83056.68000000001,10
6158,1,Grant/Award of Rights/Instruments,1.3035714285714286,4207500.0,8
6159,0,Acquisition/Purchase of Shares,0.03297721578678785,202005.05,1
6160,0,Acquisition/Purchase of Shares,0.05185072776069962,308543.0194,1
6161,0,Acquisition/Purchase of Shares,0.035540046533054,202239.22642,1
6162,0,Acquisition/Purchase of Shares,0.005662454481652854,33328.55,2
6163,0,Acquisition/Purchase of Shares,0.003042725654517013,7619.74,1
6164,0,Acquisition/Purchase of Shares,0.014826212974948759,151832.49199999997,2
6165,0,Acquisition/Purchase of Shares,0.00863239004790347,48859.9938,2
6166,0,Acquisition/Purchase of Shares,0.015057238586763723,146900.0,1
6167,0,Acquisition/Purchase of Shares,0.014776376165247433,141849.75,2
6168,0,Acquisition/Purchase of Shares,0.02349217962581481,114559.725,2
6169,0,Acquisition/Purchase of Shares,0.02029288470305672,139546.8,1
6170,0,Acquisition/Purchase of Shares,0.019432178781226703,181500.0,1
6171,0,Acquisition/Purchase of Shares,0.03347098835142663,298000.0,1
6172,0,Acquisition/Purchase of Shares,0.006739311956685094,57500.0,1
6173,0,Acquisition/Purchase of Shares,0.020635135720726824,198200.1,1
6174,0,Acquisition/Purchase of Shares,0.00017474134497174902,1699.26,1
6175,0,Acquisition/Purchase of Shares,0.018926423179400763,192549.96,1
6176,0,Acquisition/Purchase of Shares,0.003568755346449957,36216.85722,1
6177,0,Acquisition/Purchase of Shares,0.022378629290076373,151683.8255,1
6178,0,Acquisition/Purchase of Shares,0.0,23983.56,1
6179,0,Acquisition/Purchase of Shares,0.0072266986333990165,150375.7353,1
6180,0,Acquisition/Purchase of Shares,0.018971441391090783,376665.8016,1
6181,0,Acquisition/Purchase of Shares,0.0,307695.296,1
6182,0,Acquisition/Purchase of Shares,0.008661699292703632,272062.44,1
6183,0,Acquisition/Purchase of Shares,0.01476774900471318,67295.0,2
6184,0,Acquisition/Purchase of Shares,0.0,378342.0675,1
6185,0,Acquisition/Purchase of Shares,0.006774571237867522,262800.3582,1
6186,0,Acquisition/Purchase of Shares,0.0,137640.9216,1
6187,0,Acquisition/Purchase of Shares,0.004175885798195982,159984.83430000002,1
6188,0,Acquisition/Purchase of Shares,0.0031181381472397307,118107.0,1
6189,0,Acquisition/Purchase of Shares,0.004582322255681177,171273.8922,1
6190,0,Acquisition/Purchase of Shares,0.0014528387867593622,63633.130600000004,1
6191,0,Acquisition/Purchase of Shares,0.002447169811320755,91965.6054,1
6192,0,Acquisition/Purchase of Shares,0.0,141089.59999999998,1
6193,0,Acquisition/Purchase of Shares,0.0023192483274002743,101850.1,1
6194,0,Acquisition/Purchase of Shares,0.004855084745762712,216953.226,1
6195,0,Acquisition/Purchase of Shares,-0.9159185079580782,65240.839799999994,1
6196,0,Acquisition/Purchase of Shares,0.0,621627.5657,1
6197,0,Acquisition/Purchase of Shares,0.004576789336986712,196032.482,1
